dataset,model,nr_topics,npmi,umass,diversity,computation_time
climate,LDA,10,-0.040218373898912994,-2.672470247282318,0.25,7.075040817260742
climate,LDA,20,-0.03462023351900684,-2.7790781391991213,0.19,6.244699954986572
climate,LDA,30,-0.0406568512150982,-2.8915574950617593,0.16,8.04281497001648
climate,LDA,40,-0.04640165888202994,-3.692908525923096,0.1975,6.7698891162872314
climate,LDA,50,-0.04643163547300727,-3.328400428971296,0.154,9.027029037475586
