dataset,model,nr_topics,npmi,umass,diversity,computation_time
climate,NMF,10,-0.0309767664156465,-3.674720636876528,0.5,6.247035980224609
climate,NMF,20,-0.07403645270712103,-5.4273788221816766,0.405,6.522975921630859
climate,NMF,30,-0.06447445313296334,-6.395539544940193,0.39,7.047146797180176
climate,NMF,40,-0.055027317482541485,-6.411087558674756,0.415,17.893488883972168
climate,NMF,50,-0.06521831805369326,-7.107350286896531,0.386,22.48417901992798
