dataset,model,nr_topics,min_topic_size,npmi,umass,diversity,computation_time
climate,Top2Vec,3,15,-0.08451334111826521,-3.8439893922410278,0.7666666666666667,50.87393093109131
climate,Top2Vec,4,15,-0.11606618362494253,-4.836003102404668,0.65,47.049803018569946
climate,Top2Vec,5,15,-0.13886462678619327,-5.257098463400594,0.64,65.16774702072144
climate,Top2Vec,8,15,-0.13499055504497398,-5.459396041700102,0.3875,51.66358017921448
climate,Top2Vec,9,15,-0.11868271369375577,-5.199256326385323,0.36666666666666664,52.16140103340149
